ID	TIPO	BAIRRO	PRECO (diario)	TIPO DE ALUGUEL	ANDAR	QUARTOS	AREA UTIL (m2)	AREA TOTAL (m2)
2462170720	APARTMENT	Jurerê Internacional	800.0	DAILY	0	2	60	60
2441207673	APARTMENT	Jurerê Internacional	950.0	DAILY	0	2	94	94
2449080774	APARTMENT	Jurerê Internacional	400.0	DAILY	0	2	67	67
2456758877	APARTMENT	Jurerê Internacional	700.0	DAILY	0	2	68	75
2435243881	APARTMENT	Jurerê Internacional	1000.0	DAILY	0	2	90	90
1040639654	APARTMENT	Jurerê Internacional	1200.0	DAILY	0	2	0	0
1037624448	APARTMENT	Jurerê Internacional	740.0	DAILY	0	2	0	0
2441207282	APARTMENT	Jurerê Internacional	850.0	DAILY	0	2	118	118
2451745718	HOME	Jurerê Internacional	800.0	DAILY	0	2	200	450
90370885	HOME	Jurerê Internacional	1000.0	DAILY	0	2	360	360
71907968	APARTMENT	Jurerê Internacional	750.0	DAILY	0	2	0	0
91289386	APARTMENT	Jurerê Internacional	800.0	DAILY	0	2	0	0
2445441966	APARTMENT	Jurerê Internacional	600.0	DAILY	0	2	82	146
91031360	APARTMENT	Jurerê Internacional	750.0	DAILY	0	2	0	0
84505837	APARTMENT	Jurerê Internacional	400.0	DAILY	2	2	80	95
2442130112	APARTMENT	Jurerê Internacional	1000.0	DAILY	0	2	90	90
2437924893	APARTMENT	Jurerê Internacional	450.0	DAILY	0	2	65	65
86091634	APARTMENT	Jurerê Internacional	650.0	DAILY	0	2	75	75
76274215	APARTMENT	Jurerê Internacional	750.0	DAILY	0	2	80	80
70604613	APARTMENT	Jurerê Internacional	800.0	DAILY	0	2	85	85
2433007077	APARTMENT	Jurerê Internacional	650.0	DAILY	0	2	95	95
85113738	PENTHOUSE	Jurerê Internacional	1100.0	DAILY	0	2	164	164
2437924895	APARTMENT	Jurerê Internacional	450.0	DAILY	0	2	50	50
74492676	APARTMENT	Jurerê Internacional	500.0	DAILY	0	2	52	52
85342522	APARTMENT	Jurerê Internacional	800.0	DAILY	0	2	94	94
51176647	APARTMENT	Jurerê Internacional	550.0	DAILY	0	2	80	80
